zip,county_name
91942,San Diego
91945,San Diego
91948,San Diego
91950,San Diego
91962,San Diego
91963,San Diego
91977,San Diego
91978,San Diego
91980,San Diego
92003,San Diego
92004,San Diego
92007,San Diego
92008,San Diego
92009,San Diego
92010,San Diego
92011,San Diego
92014,San Diego
92019,San Diego
92020,San Diego
92021,San Diego
92024,San Diego
92025,San Diego
92026,San Diego
92027,San Diego
92028,San Diego
92029,San Diego
92036,San Diego
92037,San Diego
92040,San Diego
92054,San Diego
92055,San Diego
92056,San Diego
92057,San Diego
92058,San Diego
92059,San Diego
92060,San Diego
92061,San Diego
92064,San Diego
92065,San Diego
92066,San Diego
92067,San Diego
92069,San Diego
92070,San Diego
92071,San Diego
92075,San Diego
92078,San Diego
92081,San Diego
92082,San Diego
92083,San Diego
92084,San Diego
92086,San Diego
92091,San Diego
92092,San Diego
92093,San Diego
92096,San Diego
92101,San Diego
92102,San Diego
92103,San Diego
92104,San Diego
92105,San Diego
92106,San Diego
92107,San Diego
92108,San Diego
92109,San Diego
92110,San Diego
92111,San Diego
92113,San Diego
92114,San Diego
92115,San Diego
92116,San Diego
92117,San Diego
92118,San Diego
92119,San Diego
92120,San Diego
92121,San Diego
92122,San Diego
92123,San Diego
92124,San Diego
92126,San Diego
92127,San Diego
92128,San Diego
92129,San Diego
92130,San Diego
92131,San Diego
92132,San Diego
92134,San Diego
92135,San Diego
92136,San Diego
92139,San Diego
92140,San Diego
92145,San Diego
92147,San Diego
92154,San Diego
92155,San Diego
92161,San Diego
92173,San Diego
92179,San Diego
92182,San Diego
92201,Riverside
92203,Riverside
92210,Riverside
92211,Riverside
92220,Riverside
92222,Imperial
92223,Riverside
92225,Riverside
92227,Imperial
92230,Riverside
92231,Imperial
92233,Imperial
92234,Riverside
92236,Riverside
92239,Riverside
92240,Riverside
92241,Riverside
92242,San Bernardino
92243,Imperial
92249,Imperial
92250,Imperial
92251,Imperial
92252,San Bernardino
92253,Riverside
92254,Riverside
92256,San Bernardino
92257,Imperial
92258,Riverside
92259,Imperial
92260,Riverside
92262,Riverside
92264,Riverside
92266,Imperial
92267,San Bernardino
92268,San Bernardino
92270,Riverside
92273,Imperial
92274,Riverside
92275,Imperial
92276,Riverside
92277,San Bernardino
92278,San Bernardino
92280,San Bernardino
92281,Imperial
92282,Riverside
92283,Imperial
92284,San Bernardino
92285,San Bernardino
92301,San Bernardino
92304,San Bernardino
92305,San Bernardino
92307,San Bernardino
92308,San Bernardino
92309,San Bernardino
92310,San Bernardino
92311,San Bernardino
92313,San Bernardino
92314,San Bernardino
92315,San Bernardino
92316,San Bernardino
92317,San Bernardino
92320,Riverside
92321,San Bernardino
92322,San Bernardino
92324,San Bernardino
92325,San Bernardino
92327,San Bernardino
92328,Inyo
92332,San Bernardino
92333,San Bernardino
92335,San Bernardino
92336,San Bernardino
92337,San Bernardino
92338,San Bernardino
92339,San Bernardino
92341,San Bernardino
92342,San Bernardino
92344,San Bernardino
92345,San Bernardino
92346,San Bernardino
92347,San Bernardino
92350,San Bernardino
92352,San Bernardino
92354,San Bernardino
92356,San Bernardino
92358,San Bernardino
92359,San Bernardino
92363,San Bernardino
92364,San Bernardino
92365,San Bernardino
92368,San Bernardino
92369,San Bernardino
92371,San Bernardino
92372,San Bernardino
92373,San Bernardino
92374,San Bernardino
92376,San Bernardino
92377,San Bernardino
92378,San Bernardino
92382,San Bernardino
92384,Inyo
92385,San Bernardino
92386,San Bernardino
92389,Inyo
92391,San Bernardino
92392,San Bernardino
92394,San Bernardino
92395,San Bernardino
92397,Los Angeles
92398,San Bernardino
92399,San Bernardino
92401,San Bernardino
92404,San Bernardino
92405,San Bernardino
92407,San Bernardino
92408,San Bernardino
92410,San Bernardino
92411,San Bernardino
92415,San Bernardino
92501,Riverside
92503,Riverside
92504,Riverside
92505,Riverside
92506,Riverside
92507,Riverside
92508,Riverside
92509,Riverside
92518,Riverside
92521,Riverside
92530,Riverside
92532,Riverside
92536,Riverside
92539,Riverside
92543,Riverside
92544,Riverside
92545,Riverside
92548,Riverside
92549,Riverside
92551,Riverside
92553,Riverside
92555,Riverside
92557,Riverside
92561,Riverside
92562,Riverside
92563,Riverside
92567,Riverside
92570,Riverside
92571,Riverside
92582,Riverside
92583,Riverside
92584,Riverside
92585,Riverside
92586,Riverside
92587,Riverside
92590,Riverside
92591,Riverside
92592,Riverside
92595,Riverside
92596,Riverside
92602,Orange
92603,Orange
92604,Orange
92606,Orange
92610,Orange
92612,Orange
92614,Orange
92617,Orange
92618,Orange
92620,Orange
92624,Orange
92625,Orange
92626,Orange
92627,Orange
92629,Orange
92630,Orange
92637,Orange
92646,Orange
92647,Orange
92648,Orange
92649,Orange
92651,Orange
92653,Orange
92655,Orange
92656,Orange
92657,Orange
92660,Orange
92661,Orange
92662,Orange
92663,Orange
92672,San Diego
92673,Orange
92675,Orange
92676,Orange
92677,Orange
92678,Orange
92679,Orange
92683,Orange
92688,Orange
92691,Orange
92692,Orange
92694,Orange
92697,Orange
92701,Orange
92703,Orange
92704,Orange
92705,Orange
92706,Orange
92707,Orange
92708,Orange
92780,Orange
92782,Orange
92801,Orange
